# Created by Octave 3.6.3, Fri Dec 14 13:32:54 2012 CET <awebster@mpl-compy>
# name: out
# type: matrix
# rows: 9999
# columns: 2
 -6.048147169063446 -9.435557684886166e-05
 -6.046890280624322 -0.0001105870204476179
 -6.045633392185199 -0.0001154711516726848
 -6.044376503746076 -0.0001087869725442736
 -6.043119615306951 -9.048189186313123e-05
 -6.041862726867828 -6.068281469295193e-05
 -6.040605838428704 -1.970491357422926e-05
 -6.039348949989581 3.194233564046163e-05
 -6.038092061550457 9.35522479064653e-05
 -6.036835173111333 0.000164221509682355
 -6.035578284672209 0.0002428545500118869
 -6.034321396233086 0.0003281719379447254
 -6.033064507793962 0.0004187229603614868
 -6.031807619354838 0.0005129024399627302
 -6.030550730915714 0.0006089717480550236
 -6.029293842476591 0.0007050838541372942
 -6.028036954037467 0.0007993121360503011
 -6.026780065598343 0.0008896825552033921
 -6.025523177159219 0.0009742086836864523
 -6.024266288720096 0.001050928958492165
 -6.023009400280972 0.001117945436070197
 -6.021752511841848 0.001173463231834543
 -6.020495623402724 0.001215829757707066
 -6.019238734963601 0.001243572819465579
 -6.017981846524477 0.001255436607172656
 -6.016724958085353 0.00125041460882979
 -6.015468069646229 0.001227778500816326
 -6.014211181207106 0.001187102119634285
 -6.012954292767982 0.001128279697982634
 -6.011697404328858 0.001051537653354291
 -6.010440515889734 0.0009574393476574432
 -6.009183627450611 0.0008468823891074412
 -6.007926739011487 0.0007210882199211899
 -6.006669850572363 0.0005815839209141697
 -6.005412962133239 0.0004301763624303746
 -6.004156073694116 0.000268919035072995
 -6.002899185254992 0.0001000720979082829
 -6.001642296815868 -7.394361957953603e-05
 -6.000385408376745 -0.0002505977385570265
 -5.999128519937621 -0.0004273054815916632
 -5.997871631498497 -0.0006014856127954753
 -5.996614743059373 -0.0007706198077461783
 -5.99535785462025 -0.0009323120065590179
 -5.994100966181126 -0.001084346252719963
 -5.992844077742002 -0.001224741508304673
 -5.991587189302878 -0.001351801965163479
 -5.990330300863755 -0.001464161441944416
 -5.989073412424631 -0.001560820568325016
 -5.987816523985507 -0.001641175608637058
 -5.986559635546383 -0.001705037964417198
 -5.98530274710726 -0.001752643615152064
 -5.984045858668136 -0.001784652003671456
 -5.982788970229012 -0.001802134140729083
 -5.981532081789888 -0.001806549985885107
 -5.980275193350765 -0.001799715450635024
 -5.979018304911641 -0.001783759657150569
 -5.977761416472517 -0.001761073363527465
 -5.976504528033393 -0.001734249725853422
 -5.97524763959427 -0.001706018800658004
 -5.973990751155146 -0.001679177390983788
 -5.972733862716022 -0.001656515998757677
 -5.971476974276898 -0.001640744759741684
 -5.970220085837775 -0.001634420300457179
 -5.968963197398651 -0.001639875466474695
 -5.967706308959527 -0.001659153826421313
 -5.966449420520403 -0.00169395075644442
 -5.96519253208128 -0.001745562757299646
 -5.963935643642156 -0.001814846454173728
 -5.962678755203032 -0.001902188482873135
 -5.961421866763908 -0.002007487181575692
 -5.960164978324785 -0.002130146692621999
 -5.958908089885661 -0.002269083742865248
 -5.957651201446537 -0.002422747023355338
 -5.956394313007413 -0.002589148739844627
 -5.95513742456829 -0.002765907565264803
 -5.953880536129166 -0.00295030190407639
 -5.952623647690042 -0.003139332086069987
 -5.951366759250918 -0.003329789852957737
 -5.950109870811795 -0.003518333292916814
 -5.948852982372671 -0.00370156522264466
 -5.947596093933547 -0.003876112918755261
 -5.946339205494423 -0.004038707063640965
 -5.9450823170553 -0.004186257796840921
 -5.943825428616176 -0.004315925850811592
 -5.942568540177052 -0.004425186897599837
 -5.941311651737928 -0.00451188743547588
 -5.940054763298805 -0.00457429079651478
 -5.938797874859681 -0.004611112149187154
 -5.937540986420557 -0.004621541695418679
 -5.936284097981433 -0.004605255609142377
 -5.93502720954231 -0.004562414622076959
 -5.933770321103186 -0.004493650521235701
 -5.932513432664062 -0.004400041169893601
 -5.931256544224938 -0.004283074988936827
 -5.929999655785815 -0.004144606127931393
 -5.928742767346691 -0.003986801806206089
 -5.927485878907567 -0.003812083505547183
 -5.926228990468443 -0.003623063842094561
 -5.92497210202932 -0.003422481030872301
 -5.923715213590196 -0.003213132880470349
 -5.922458325151072 -0.002997812217012934
 -5.921201436711948 -0.002779245537980572
 -5.919944548272825 -0.002560036541811988
